UCSD	BI	UCSF-UBC	UW	FEMALE	MALE	UNKNOWN	SOLID_LIQUID	TYPE
E116	0	1	0	0	1	0	0	NONE	PRIMARYCULTURE
E117	0	1	0	0	1	0	0	NONE	CELLLINE
E118	0	1	0	0	0	1	0	NONE	CELLLINE
E119	0	1	0	0	0	0	1	NONE	PRIMARYCULTURE
E120	0	1	0	0	0	0	1	NONE	PRIMARYCULTURE
E121	0	1	0	0	0	0	1	NONE	PRIMARYCULTURE
E122	0	1	0	0	0	0	1	NONE	PRIMARYCULTURE
E123	0	1	0	0	1	0	0	NONE	PRIMARYCULTURE
E124	0	1	0	0	1	0	0	NONE	PRIMARYCELL
E125	0	1	0	0	0	0	1	NONE	PRIMARYCULTURE
E126	0	1	0	0	1	0	0	NONE	PRIMARYCULTURE
E127	0	1	0	0	0	0	1	NONE	PRIMARYCULTURE
E128	0	1	0	0	0	0	1	NONE	PRIMARYCULTURE
E129	0	1	0	0	0	0	1	NONE	PRIMARYCULTURE
